doi,author1,name1,aff1,author2,name2,aff2
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/04/1613,Michael S. Steinbach,"University of Minnesota, Department of Computer Science and Engineering, Minneapolis, MN, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/88/2686,Yolanda Gil,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/VipinKumar-1,Vipin Kumar 0001,"University of Minnesota, Department of Computer Science and Engineering, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/93/4525,Varun Ratnakar,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/77/8486,Christopher J. Duffy,"Pennsylvania State University, Department of Civil and Environmental Engineering, University Park, PA, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/65/10103,Jay Pujara,"University of California, Santa Cruz, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/d/EwaDeelman,Ewa Deelman,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/34/3955-4,Minh Pham 0004,"University of Southern California, Information Sciences Institute, Marina del Rey, CA, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA",https://dblp.org/pid/08/10040,Rafael Ferreira da Silva,"Oak Ridge National Laboratory, USA"
http://dx.doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
https://doi.org/10.1145/3453172,https://dblp.org/pid/k/CAKnoblock,Craig A. Knoblock,"University of Southern California, Information Sciences Institute, Los Angeles, USA",https://dblp.org/pid/39/2145,Yao-Yi Chiang,"University of Southern California, Los Angeles, USA"
http://dx.doi.org/10.1109/tim.2021.3052577,https://dblp.org/pid/29/2945-1,Vijay Viswanathan 0001,"MV Hospital for Diabetes and Professor M Viswanathan Diabetes Research Centre, Chennai, India",https://dblp.org/pid/125/1717-1,Suneet K. Gupta 0001,"Bennett University, Greater Noida, India"
https://doi.org/10.1109/tim.2021.3052577,https://dblp.org/pid/29/2945-1,Vijay Viswanathan 0001,"MV Hospital for Diabetes and Professor M Viswanathan Diabetes Research Centre, Chennai, India",https://dblp.org/pid/125/1717-1,Suneet K. Gupta 0001,"Bennett University, Greater Noida, India"
http://dx.doi.org/10.1109/jbhi.2021.3103839,https://dblp.org/pid/75/261,Ayman El-Baz,"University of Louisville, Department of Bioengineering",https://dblp.org/pid/125/1717-1,Suneet K. Gupta 0001,"Bennett University, Greater Noida, India"
https://doi.org/10.1109/jbhi.2021.3103839,https://dblp.org/pid/75/261,Ayman El-Baz,"University of Louisville, Department of Bioengineering",https://dblp.org/pid/125/1717-1,Suneet K. Gupta 0001,"Bennett University, Greater Noida, India"
